Year,Canada,China,France,Germany,India,Italy,Japan,New Zealand,Russia,South Africa,UK,USA,World,Brazil
1990,210.9031356,873.7059472,224.5126625,354.8590955,305.6669366,151.195143,439.7247667,13.62002118,881.6287493,90.34316799,205.5982101,1909.920241,8763.092231,140.6103238
1991,210.2804807,847.9391197,237.3015451,344.4072572,318.4515307,154.9377675,444.6848408,13.80457514,872.4748574,92.72615223,212.7359738,1925.372728,8816.4508,143.2066513
1992,215.3721381,876.9248122,233.9938201,337.8652318,330.0907717,154.0239396,454.6090985,14.25280578,799.87677,88.47167938,212.2921925,1963.797316,8829.543272,144.7285575
1993,222.740012,929.3194416,237.6195521,334.9351247,338.0269031,153.2540729,457.4469413,14.92214538,756.2846945,93.68566171,214.4654737,1998.290973,8921.772895,148.3851797
1994,230.6709716,973.2337843,230.7656003,332.7848053,350.987069,151.4007904,482.700083,15.29706988,659.3527986,98.17006887,221.267203,2035.753685,8994.05576,156.1709916
1995,233.7702078,1045.086361,239.5687622,336.1915977,371.1602726,159.4520085,495.416603,15.3276159,638.587269,103.5456347,216.556629,2062.607248,9215.032839,161.4276737
1996,238.4143738,1073.896578,250.4986151,347.5659243,382.5089064,159.2703637,505.6713577,15.73877379,633.9654323,106.5917962,225.5926106,2108.275166,9448.229599,169.9952599
1997,240.9079209,1073.257152,243.968775,345.7942051,397.6899711,161.5856395,510.9712041,16.26228058,605.7244679,108.6720246,218.9639433,2129.732697,9540.997829,178.5601949
1998,239.5983343,1078.387735,251.4783001,343.3792444,407.227152,166.0503628,501.2821016,16.040332,591.3920521,110.760362,220.9990134,2156.345767,9596.759966,182.8903544
1999,246.3264893,1099.096698,251.7629579,335.2781117,430.7421873,168.5743572,509.2589274,16.6830806,608.3798556,109.0184482,221.5996386,2206.036953,9790.339259,187.0256076
2000,253.5138878,1129.738324,254.7957468,336.5889148,440.9115061,171.7821463,519.0445419,17.25681993,618.6385801,110.5967831,222.6625895,2268.990241,10019.6657,187.7381473
2001,250.0044082,1168.350407,260.1932129,346.4911247,448.0200835,172.1992035,510.593506,17.28130819,625.3345218,107.299795,223.5603368,2226.462148,10111.92464,190.9661471
2002,250.6926712,1245.964897,260.8595026,338.7320992,462.1211253,173.3194747,512.3279095,17.26967108,622.4049123,103.2502873,220.4506511,2256.289406,10329.60641,195.9935261
2003,263.9629706,1420.101014,267.4500261,337.0536185,473.956219,181.5672155,508.5351229,17.06138393,644.6403467,116.0938459,224.2996823,2261.478717,10691.90478,199.1896614
2004,270.4674759,1614.695103,271.308691,338.8827796,499.1334227,182.7740144,524.4973782,17.51557729,646.6884882,126.1209834,221.5127595,2308.087707,11173.99599,210.321393
2005,273.0152065,1782.030825,272.4092978,336.9832492,514.4901025,186.3307842,523.3711806,17.09994864,651.0215282,122.2551648,222.6135876,2319.369522,11486.68951,215.5551844
2006,277.8061409,1949.940525,268.0047445,346.2033412,533.1319172,184.3529342,523.3792992,17.09396152,669.9247334,125.5216832,218.8193713,2297.406065,11831.39698,223.0921789
2007,277.1064234,2098.796317,265.4281046,328.0211591,567.9549511,184.2208881,517.8804638,17.30232742,671.8061908,134.6563043,210.8987177,2337.768427,12152.0012,235.8409037
2008,272.9335731,2154.669886,266.6141509,330.9415735,600.4818217,181.823039,498.4456495,17.56570856,687.4558891,145.0966193,208.2124552,2277.52217,12299.61165,249.1215217
2009,261.3115271,2296.760892,255.1803933,309.898851,665.65465,169.7831395,475.3651587,17.72041748,646.2207527,147.1255185,195.8658374,2165.339827,12200.08162,241.0752821
2010,263.3545892,2536.430331,263.1347493,325.9792591,700.0435026,173.8207054,500.9014872,18.54667544,687.5539656,137.8994677,203.1942034,2217.53425,12870.68344,266.4896795
2011,266.9917495,2722.70095,254.0133639,309.5074211,733.6004397,168.0561932,463.3581419,18.49057669,721.0248971,140.6373658,188.580498,2191.613081,13071.20583,270.4005928
2012,268.2159485,2820.789812,254.3554299,310.8046282,766.4140209,161.4341177,453.4470003,19.3451608,739.0775758,135.0295912,193.6298294,2152.498576,13277.51561,280.5866197
2013,271.9694293,2911.743777,255.0029904,317.5942043,778.4275892,155.5020881,455.0995089,19.45032238,719.1729497,134.1852778,190.8893701,2196.247366,13458.16518,292.8999314
2014,279.8060484,2965.058313,244.4698025,305.7258025,823.658116,146.8836316,439.4697251,20.6200155,723.7433819,141.9307446,179.8330156,2216.764794,13631.95224,301.9994056
2015,280.7630964,2993.902719,248.3974808,307.8449195,836.5149013,152.6739,432.3382293,20.75017841,709.1956846,135.9596608,181.4356087,2193.684249,13675.11848,296.1543626
2016,281.4672926,2964.620678,244.0278163,309.6772897,862.3731367,151.1013586,427.5278958,20.75940046,731.7316848,140.3683806,178.6999736,2172.330364,13767.59284,285.3311639
2017,290.7419996,3050.594901,243.8506172,312.1760722,896.6448113,153.5579775,429.5216376,21.35392584,773.1228313,137.4759054,177.240252,2180.412472,14069.68028,289.0798752
2018,300.6718336,3164.080109,242.6568705,301.0962575,929.448662,154.6908833,424.4444587,20.62162472,800.053484,139.3426526,175.6760694,2257.657403,14390.8848,290.4824302
